name,face,type_line,subtype_count,subtypes,set,rarity,scryfall_uri
Dire Fleet Ravager,Dire Fleet Ravager,Creature — Orc Pirate Wizard,3,"Orc, Pirate, Wizard",otc,mythic,https://scryfall.com/card/otc/132/dire-fleet-ravager?utm_source=api
Director Nick Fury,Director Nick Fury,Legendary Creature — Human Spy Hero,3,"Human, Spy, Hero",msc,mythic,https://scryfall.com/card/msc/81/director-nick-fury?utm_source=api
Dirty Wererat,Dirty Wererat,Creature — Human Rat Minion,3,"Human, Rat, Minion",ody,common,https://scryfall.com/card/ody/130/dirty-wererat?utm_source=api
"Doc Ock, Evil Inventor","Doc Ock, Evil Inventor",Legendary Creature — Human Scientist Villain,3,"Human, Scientist, Villain",spe,rare,https://scryfall.com/card/spe/24/doc-ock-evil-inventor?utm_source=api
"Doc Ock, Sinister Scientist","Doc Ock, Sinister Scientist",Legendary Creature — Human Scientist Villain,3,"Human, Scientist, Villain",msc,common,https://scryfall.com/card/msc/783/doc-ock-sinister-scientist?utm_source=api
"Doc Samson, Super Psychiatrist","Doc Samson, Super Psychiatrist",Legendary Creature — Gamma Doctor Hero,3,"Gamma, Doctor, Hero",msh,uncommon,https://scryfall.com/card/msh/164/doc-samson-super-psychiatrist?utm_source=api
Doctor Doom,Doctor Doom,Legendary Creature — Human Scientist Villain,3,"Human, Scientist, Villain",msh,mythic,https://scryfall.com/card/msh/95/doctor-doom?utm_source=api
"Doctor Doom, King of Latveria","Doctor Doom, King of Latveria",Legendary Creature — Human Noble Villain,3,"Human, Noble, Villain",msc,mythic,https://scryfall.com/card/msc/6/doctor-doom-king-of-latveria?utm_source=api
"Doctor Doom, Unrivaled","Doctor Doom, Unrivaled",Legendary Creature — Human Sorcerer Villain,3,"Human, Sorcerer, Villain",msc,mythic,https://scryfall.com/card/msc/654/doctor-doom-unrivaled?utm_source=api
"Doctor Octopus, Master Planner","Doctor Octopus, Master Planner",Legendary Creature — Human Scientist Villain,3,"Human, Scientist, Villain",spm,mythic,https://scryfall.com/card/spm/128/doctor-octopus-master-planner?utm_source=api
"Doctor Strange, Surgeon","Doctor Strange, Surgeon",Legendary Creature — Human Doctor Hero,3,"Human, Doctor, Hero",msc,rare,https://scryfall.com/card/msc/591/doctor-strange-surgeon?utm_source=api
"Don & Leo, Problem Solvers","Don & Leo, Problem Solvers",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,rare,https://scryfall.com/card/tmt/143/don-&-leo-problem-solvers?utm_source=api
"Don & Raph, Hard Science","Don & Raph, Hard Science",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,rare,https://scryfall.com/card/tmt/144/don-&-raph-hard-science?utm_source=api
"Donatello, Gadget Master","Donatello, Gadget Master",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,rare,https://scryfall.com/card/tmt/35/donatello-gadget-master?utm_source=api
"Donatello, Mutant Mechanic","Donatello, Mutant Mechanic",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,mythic,https://scryfall.com/card/tmt/36/donatello-mutant-mechanic?utm_source=api
"Donatello, Rad Scientist","Donatello, Rad Scientist",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmc,mythic,https://scryfall.com/card/tmc/109/donatello-rad-scientist?utm_source=api
"Donatello, Turtle Techie","Donatello, Turtle Techie",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,common,https://scryfall.com/card/tmt/37/donatello-turtle-techie?utm_source=api
"Donatello, Way with Machines","Donatello, Way with Machines",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmt,uncommon,https://scryfall.com/card/tmt/38/donatello-way-with-machines?utm_source=api
"Donatello, the Brains","Donatello, the Brains",Legendary Creature — Mutant Ninja Turtle,3,"Mutant, Ninja, Turtle",tmc,mythic,https://scryfall.com/card/tmc/2/donatello-the-brains?utm_source=api
Doomed Necromancer,Doomed Necromancer,Creature — Human Cleric Mercenary,3,"Human, Cleric, Mercenary",afc,rare,https://scryfall.com/card/afc/98/doomed-necromancer?utm_source=api
Dracosaur Auxiliary,Dracosaur Auxiliary,Creature — Dinosaur Dragon Mount,3,"Dinosaur, Dragon, Mount",dft,uncommon,https://scryfall.com/card/dft/122/dracosaur-auxiliary?utm_source=api
"Drafna, Founder of Lat-Nam","Drafna, Founder of Lat-Nam",Legendary Creature — Human Artificer Advisor,3,"Human, Artificer, Advisor",bro,rare,https://scryfall.com/card/bro/47/drafna-founder-of-lat-nam?utm_source=api
Dragonspeaker Shaman,Dragonspeaker Shaman,Creature — Human Barbarian Shaman,3,"Human, Barbarian, Shaman",afc,uncommon,https://scryfall.com/card/afc/330/dragonspeaker-shaman?utm_source=api
Drana's Chosen,Drana's Chosen,Creature — Vampire Shaman Ally,3,"Vampire, Shaman, Ally",ogw,rare,https://scryfall.com/card/ogw/84/dranas-chosen?utm_source=api
Drana's Emissary,Drana's Emissary,Creature — Vampire Cleric Ally,3,"Vampire, Cleric, Ally",bfz,uncommon,https://scryfall.com/card/bfz/210/dranas-emissary?utm_source=api
Dread Warlock,Dread Warlock,Creature — Human Wizard Warlock,3,"Human, Wizard, Warlock",m10,common,https://scryfall.com/card/m10/94/dread-warlock?utm_source=api
Dreadhorde Twins,Dreadhorde Twins,Creature — Zombie Jackal Warrior,3,"Zombie, Jackal, Warrior",war,uncommon,https://scryfall.com/card/war/126/dreadhorde-twins?utm_source=api
Dross Hopper,Dross Hopper,Creature — Phyrexian Insect Horror,3,"Phyrexian, Insect, Horror",som,common,https://scryfall.com/card/som/60/dross-hopper?utm_source=api
Druid of the Sacred Beaker,Druid of the Sacred Beaker,Creature — Deer Bird Ape Druid,3,"Bird, Ape, Druid",ust,uncommon,https://scryfall.com/card/ust/106/druid-of-the-sacred-beaker?utm_source=api
Drumhunter,Drumhunter,Creature — Human Druid Warrior,3,"Human, Druid, Warrior",c13,uncommon,https://scryfall.com/card/c13/142/drumhunter?utm_source=api
Duke Ulder Ravengard,Duke Ulder Ravengard,Legendary Creature — Human Noble Soldier,3,"Human, Noble, Soldier",clb,rare,https://scryfall.com/card/clb/272/duke-ulder-ravengard?utm_source=api
Dunerider Outlaw,Dunerider Outlaw,Creature — Human Rebel Rogue,3,"Human, Rebel, Rogue",tsr,uncommon,https://scryfall.com/card/tsr/112/dunerider-outlaw?utm_source=api
Duskwatch Recruiter // Krallenhorde Howler,Duskwatch Recruiter,Creature — Human Warrior Werewolf,3,"Human, Warrior, Werewolf",inr,uncommon,https://scryfall.com/card/inr/193/duskwatch-recruiter-krallenhorde-howler?utm_source=api
Earl of Squirrel,Earl of Squirrel,Creature — Squirrel Noble Advisor,3,"Squirrel, Noble, Advisor",ust,rare,https://scryfall.com/card/ust/108/earl-of-squirrel?utm_source=api
Earth King's Lieutenant,Earth King's Lieutenant,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",tla,rare,https://scryfall.com/card/tla/217/earth-kings-lieutenant?utm_source=api
Earth Kingdom General,Earth Kingdom General,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",tla,uncommon,https://scryfall.com/card/tla/173/earth-kingdom-general?utm_source=api
Earth Kingdom Jailer,Earth Kingdom Jailer,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",tla,uncommon,https://scryfall.com/card/tla/16/earth-kingdom-jailer?utm_source=api
Earth Kingdom Protectors,Earth Kingdom Protectors,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",tla,uncommon,https://scryfall.com/card/tla/17/earth-kingdom-protectors?utm_source=api
Earth Rumble Wrestlers,Earth Rumble Wrestlers,Creature — Human Warrior Performer,3,"Human, Warrior, Performer",tla,common,https://scryfall.com/card/tla/218/earth-rumble-wrestlers?utm_source=api
Earth Village Ruffians,Earth Village Ruffians,Creature — Human Soldier Rogue,3,"Human, Soldier, Rogue",tla,common,https://scryfall.com/card/tla/219/earth-village-ruffians?utm_source=api
Earthbending Student,Earthbending Student,Creature — Human Warrior Ally,3,"Human, Warrior, Ally",tle,uncommon,https://scryfall.com/card/tle/249/earthbending-student?utm_source=api
Earthen Ally,Earthen Ally,Creature — Human Soldier Ally,3,"Human, Soldier, Ally",tla,rare,https://scryfall.com/card/tla/177/earthen-ally?utm_source=api
East Wind Avatar,East Wind Avatar,Creature — Bird Spirit Avatar,3,"Bird, Spirit, Avatar",tmt,common,https://scryfall.com/card/tmt/5/east-wind-avatar?utm_source=api
Eastern Paladin,Eastern Paladin,Creature — Phyrexian Zombie Knight,3,"Phyrexian, Zombie, Knight",8ed,rare,https://scryfall.com/card/8ed/131/eastern-paladin?utm_source=api
"Eddie Brock // Venom, Lethal Protector",Eddie Brock,Legendary Creature — Human Hero Villain,3,"Human, Hero, Villain",spm,mythic,https://scryfall.com/card/spm/55/eddie-brock-venom-lethal-protector?utm_source=api
"Eddie Brock // Venom, Lethal Protector","Venom, Lethal Protector",Legendary Creature — Symbiote Hero Villain,3,"Symbiote, Hero, Villain",spm,mythic,https://scryfall.com/card/spm/55/eddie-brock-venom-lethal-protector?utm_source=api
"Edgar, King of Figaro","Edgar, King of Figaro",Legendary Creature — Human Artificer Noble,3,"Human, Artificer, Noble",fin,rare,https://scryfall.com/card/fin/51/edgar-king-of-figaro?utm_source=api
"Edgar, Master Machinist","Edgar, Master Machinist",Legendary Creature — Human Artificer Noble,3,"Human, Artificer, Noble",fic,rare,https://scryfall.com/card/fic/80/edgar-master-machinist?utm_source=api
Edward Kenway,Edward Kenway,Legendary Creature — Human Assassin Pirate,3,"Human, Assassin, Pirate",acr,mythic,https://scryfall.com/card/acr/53/edward-kenway?utm_source=api
"Eivor, Battle-Ready","Eivor, Battle-Ready",Legendary Creature — Human Assassin Warrior,3,"Human, Assassin, Warrior",acr,mythic,https://scryfall.com/card/acr/274/eivor-battle-ready?utm_source=api
"Eivor, Wolf-Kissed","Eivor, Wolf-Kissed",Legendary Creature — Human Assassin Warrior,3,"Human, Assassin, Warrior",acr,mythic,https://scryfall.com/card/acr/54/eivor-wolf-kissed?utm_source=api
"Elas il-Kor, Sadistic Pilgrim","Elas il-Kor, Sadistic Pilgrim",Legendary Creature — Phyrexian Kor Cleric,3,"Phyrexian, Kor, Cleric",dmu,uncommon,https://scryfall.com/card/dmu/198/elas-il-kor-sadistic-pilgrim?utm_source=api
Elder Druid,Elder Druid,Creature — Elf Cleric Druid,3,"Elf, Cleric, Druid",7ed,rare,https://scryfall.com/card/7ed/238/elder-druid?utm_source=api
"Elektra, Daughter of the Hand","Elektra, Daughter of the Hand",Legendary Creature — Human Ninja Villain,3,"Human, Ninja, Villain",msh,rare,https://scryfall.com/card/msh/97/elektra-daughter-of-the-hand?utm_source=api
"Elektra, Femme Fatale","Elektra, Femme Fatale",Legendary Creature — Human Assassin Hero,3,"Human, Assassin, Hero",msc,uncommon,https://scryfall.com/card/msc/687/elektra-femme-fatale?utm_source=api
Elenda and Azor,Elenda and Azor,Legendary Creature — Vampire Knight Sphinx,3,"Vampire, Knight, Sphinx",moc,mythic,https://scryfall.com/card/moc/6/elenda-and-azor?utm_source=api
Elite Archers,Elite Archers,Creature — Human Soldier Archer,3,"Human, Soldier, Archer",8ed,rare,https://scryfall.com/card/8ed/18/elite-archers?utm_source=api
Elturgard Ranger,Elturgard Ranger,Creature — Human Elf Ranger,3,"Human, Elf, Ranger",afr,common,https://scryfall.com/card/afr/182/elturgard-ranger?utm_source=api
Elvish Bard,Elvish Bard,Creature — Elf Shaman Bard,3,"Elf, Shaman, Bard",9ed,uncommon,https://scryfall.com/card/9ed/236/elvish-bard?utm_source=api
Emberstrike Duo,Emberstrike Duo,Creature — Elemental Warrior Shaman,3,"Elemental, Warrior, Shaman",shm,common,https://scryfall.com/card/shm/185/emberstrike-duo?utm_source=api
Emrakul's Messenger,Emrakul's Messenger,Creature — Eldrazi Faerie Rogue,3,"Eldrazi, Faerie, Rogue",mh3,uncommon,https://scryfall.com/card/mh3/61/emrakuls-messenger?utm_source=api
Ertai Resurrected,Ertai Resurrected,Legendary Creature — Phyrexian Human Wizard,3,"Phyrexian, Human, Wizard",dmu,rare,https://scryfall.com/card/dmu/199/ertai-resurrected?utm_source=api
"Ertai, the Corrupted","Ertai, the Corrupted",Legendary Creature — Phyrexian Human Wizard,3,"Phyrexian, Human, Wizard",pls,rare,https://scryfall.com/card/pls/107/ertai-the-corrupted?utm_source=api
"Etali, Primal Conqueror // Etali, Primal Sickness","Etali, Primal Sickness",Legendary Creature — Phyrexian Elder Dinosaur,3,"Phyrexian, Elder, Dinosaur",mom,rare,https://scryfall.com/card/mom/137/etali-primal-conqueror-etali-primal-sickness?utm_source=api
Etherium-Horn Sorcerer,Etherium-Horn Sorcerer,Artifact Creature — Minotaur Wizard Sorcerer,3,"Minotaur, Wizard, Sorcerer",c17,rare,https://scryfall.com/card/c17/171/etherium-horn-sorcerer?utm_source=api
Evangel of Synthesis,Evangel of Synthesis,Creature — Phyrexian Human Cleric,3,"Phyrexian, Human, Cleric",bro,uncommon,https://scryfall.com/card/bro/209/evangel-of-synthesis?utm_source=api
Evolution Witness,Evolution Witness,Creature — Elf Shaman Mutant,3,"Elf, Shaman, Mutant",mh3,common,https://scryfall.com/card/mh3/151/evolution-witness?utm_source=api
Expedition Envoy,Expedition Envoy,Creature — Human Scout Ally,3,"Human, Scout, Ally",bfz,uncommon,https://scryfall.com/card/bfz/24/expedition-envoy?utm_source=api
Experiment Five,Experiment Five,Creature — Bear Snake Mutant,3,"Bear, Snake, Mutant",cmb2,rare,https://scryfall.com/card/cmb2/73/experiment-five?utm_source=api
Experiment Twelve,Experiment Twelve,Creature — Elf Lizard Warrior,3,"Elf, Lizard, Warrior",mkc,rare,https://scryfall.com/card/mkc/37/experiment-twelve?utm_source=api
Extremis Elite,Extremis Elite,Creature — Human Mercenary Villain,3,"Human, Mercenary, Villain",msc,common,https://scryfall.com/card/msc/763/extremis-elite?utm_source=api
Exuberant Firestoker,Exuberant Firestoker,Creature — Human Druid Shaman,3,"Human, Druid, Shaman",ala,uncommon,https://scryfall.com/card/ala/99/exuberant-firestoker?utm_source=api
Exuberant Fuseling,Exuberant Fuseling,Creature — Phyrexian Goblin Warrior,3,"Phyrexian, Goblin, Warrior",one,uncommon,https://scryfall.com/card/one/129/exuberant-fuseling?utm_source=api
"Ezekiel Sims, Spider-Totem","Ezekiel Sims, Spider-Totem",Legendary Creature — Spider Human Advisor,3,"Spider, Human, Advisor",spm,uncommon,https://scryfall.com/card/spm/100/ezekiel-sims-spider-totem?utm_source=api
"Ezuri, Claw of Progress","Ezuri, Claw of Progress",Legendary Creature — Phyrexian Elf Warrior,3,"Phyrexian, Elf, Warrior",2x2,mythic,https://scryfall.com/card/2x2/211/ezuri-claw-of-progress?utm_source=api
"Ezuri, Stalker of Spheres","Ezuri, Stalker of Spheres",Legendary Creature — Phyrexian Elf Warrior,3,"Phyrexian, Elf, Warrior",one,rare,https://scryfall.com/card/one/201/ezuri-stalker-of-spheres?utm_source=api
Faithful Pikemaster,Faithful Pikemaster,Creature — Rhino Monk Soldier,3,"Rhino, Monk, Soldier",j25,common,https://scryfall.com/card/j25/3/faithful-pikemaster?utm_source=api
Falcon and Redwing,Falcon and Redwing,Legendary Creature — Human Bird Hero,3,"Human, Bird, Hero",msc,rare,https://scryfall.com/card/msc/14/falcon-and-redwing?utm_source=api
"Falcon, Joaquin Torres","Falcon, Joaquin Torres",Legendary Creature — Bird Human Hero,3,"Bird, Human, Hero",msc,uncommon,https://scryfall.com/card/msc/593/falcon-joaquin-torres?utm_source=api
Fallen Ferromancer,Fallen Ferromancer,Creature — Phyrexian Human Shaman,3,"Phyrexian, Human, Shaman",nph,uncommon,https://scryfall.com/card/nph/82/fallen-ferromancer?utm_source=api
Ferocious Werefox // Guard Change,Ferocious Werefox,Creature — Elf Fox Warrior,3,"Elf, Fox, Warrior",woe,common,https://scryfall.com/card/woe/170/ferocious-werefox-guard-change?utm_source=api
Fin Fang Foom,Fin Fang Foom,Legendary Creature — Alien Dragon Villain,3,"Alien, Dragon, Villain",msh,rare,https://scryfall.com/card/msh/129/fin-fang-foom?utm_source=api
Fin-Clade Fugitives,Fin-Clade Fugitives,Creature — Elf Salamander Rogue,3,"Elf, Salamander, Rogue",cmr,common,https://scryfall.com/card/cmr/227/fin-clade-fugitives?utm_source=api
Fire Bowman,Fire Bowman,Creature — Human Soldier Archer,3,"Human, Soldier, Archer",ptk,uncommon,https://scryfall.com/card/ptk/112/fire-bowman?utm_source=api
Fire Lord Zuko,Fire Lord Zuko,Legendary Creature — Human Noble Ally,3,"Human, Noble, Ally",tla,rare,https://scryfall.com/card/tla/221/fire-lord-zuko?utm_source=api
"Firebird, Blazing Ranger","Firebird, Blazing Ranger",Legendary Creature — Human Ranger Hero,3,"Human, Ranger, Hero",msc,rare,https://scryfall.com/card/msc/50/firebird-blazing-ranger?utm_source=api
Firebrand Ranger,Firebrand Ranger,Creature — Human Soldier Ranger,3,"Human, Soldier, Ranger",inv,uncommon,https://scryfall.com/card/inv/143/firebrand-ranger?utm_source=api
Firemantle Mage,Firemantle Mage,Creature — Human Shaman Ally,3,"Human, Shaman, Ally",bfz,uncommon,https://scryfall.com/card/bfz/145/firemantle-mage?utm_source=api
"Firion, Wild Rose Warrior","Firion, Wild Rose Warrior",Legendary Creature — Human Rebel Warrior,3,"Human, Rebel, Warrior",fin,rare,https://scryfall.com/card/fin/137/firion-wild-rose-warrior?utm_source=api
First-Time Flyer,First-Time Flyer,Creature — Human Pilot Ally,3,"Human, Pilot, Ally",tla,common,https://scryfall.com/card/tla/49/first-time-flyer?utm_source=api
"Fixer, Techno Terror","Fixer, Techno Terror",Legendary Creature — Human Artificer Villain,3,"Human, Artificer, Villain",msc,uncommon,https://scryfall.com/card/msc/656/fixer-techno-terror?utm_source=api
Flexible Waterbender,Flexible Waterbender,Creature — Human Warrior Ally,3,"Human, Warrior, Ally",tla,common,https://scryfall.com/card/tla/50/flexible-waterbender?utm_source=api
Foggy Swamp Hunters,Foggy Swamp Hunters,Creature — Human Ranger Ally,3,"Human, Ranger, Ally",tla,common,https://scryfall.com/card/tla/101/foggy-swamp-hunters?utm_source=api
Foggy Swamp Spirit Keeper,Foggy Swamp Spirit Keeper,Creature — Human Druid Ally,3,"Human, Druid, Ally",tla,uncommon,https://scryfall.com/card/tla/222/foggy-swamp-spirit-keeper?utm_source=api
Foggy Swamp Vinebender,Foggy Swamp Vinebender,Creature — Human Plant Ally,3,"Human, Plant, Ally",tla,common,https://scryfall.com/card/tla/180/foggy-swamp-vinebender?utm_source=api
Foot Mystic,Foot Mystic,Creature — Human Ninja Warlock,3,"Human, Ninja, Warlock",tmt,common,https://scryfall.com/card/tmt/63/foot-mystic?utm_source=api
Forecasting Fortune Teller,Forecasting Fortune Teller,Creature — Human Advisor Ally,3,"Human, Advisor, Ally",tla,common,https://scryfall.com/card/tla/51/forecasting-fortune-teller?utm_source=api
Forensic Gadgeteer,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,3,"Vedalken, Artificer, Detective",mkm,rare,https://scryfall.com/card/mkm/57/forensic-gadgeteer?utm_source=api
Freedom Fighter Recruit,Freedom Fighter Recruit,Creature — Human Rebel Ally,3,"Human, Rebel, Ally",tle,common,https://scryfall.com/card/tle/118/freedom-fighter-recruit?utm_source=api
Frilled Mystic,Frilled Mystic,Creature — Elf Lizard Wizard,3,"Elf, Lizard, Wizard",rvr,uncommon,https://scryfall.com/card/rvr/183/frilled-mystic?utm_source=api
Frontline Devastator,Frontline Devastator,Creature — Zombie Minotaur Warrior,3,"Zombie, Minotaur, Warrior",hou,common,https://scryfall.com/card/hou/93/frontline-devastator?utm_source=api
Gamma Grotesque,Gamma Grotesque,Creature — Gamma Horror Villain,3,"Gamma, Horror, Villain",msc,rare,https://scryfall.com/card/msc/562/gamma-grotesque?utm_source=api
"Garnet, Princess of Alexandria","Garnet, Princess of Alexandria",Legendary Creature — Human Noble Cleric,3,"Human, Noble, Cleric",fin,uncommon,https://scryfall.com/card/fin/222/garnet-princess-of-alexandria?utm_source=api
Geier Reach Bandit // Vildin-Pack Alpha,Geier Reach Bandit,Creature — Human Rogue Werewolf,3,"Human, Rogue, Werewolf",inr,uncommon,https://scryfall.com/card/inr/156/geier-reach-bandit-vildin-pack-alpha?utm_source=api
Gemcutter Buccaneer,Gemcutter Buccaneer,Creature — Orc Pirate Artificer,3,"Orc, Pirate, Artificer",lcc,rare,https://scryfall.com/card/lcc/87/gemcutter-buccaneer?utm_source=api
Gempalm Sorcerer,Gempalm Sorcerer,Creature — Human Wizard Sorcerer,3,"Human, Wizard, Sorcerer",lgn,uncommon,https://scryfall.com/card/lgn/39/gempalm-sorcerer?utm_source=api
"Genevieve, Conniving Dragon","Genevieve, Conniving Dragon",Legendary Creature — Elder Dragon Gamer,3,"Elder, Dragon, Gamer",unk,rare,https://scryfall.com/card/unk/RZ05a/genevieve-conniving-dragon?utm_source=api
Genghis Frog,Genghis Frog,Legendary Creature — Frog Mutant Rogue,3,"Frog, Mutant, Rogue",tmt,uncommon,https://scryfall.com/card/tmt/148/genghis-frog?utm_source=api
Gerrard and Hanna,Gerrard and Hanna,Legendary Creature — Human Soldier Artificer,3,"Human, Soldier, Artificer",unk,rare,https://scryfall.com/card/unk/RW04a/gerrard-and-hanna?utm_source=api
"Gert and Old Lace, Runaways","Gert and Old Lace, Runaways",Legendary Creature — Human Dinosaur Hero,3,"Human, Dinosaur, Hero",msc,uncommon,https://scryfall.com/card/msc/568/gert-and-old-lace-runaways?utm_source=api
Geyser Leaper,Geyser Leaper,Creature — Human Warrior Ally,3,"Human, Warrior, Ally",tla,common,https://scryfall.com/card/tla/52/geyser-leaper?utm_source=api
"Ghost, Spectral Saboteur","Ghost, Spectral Saboteur",Legendary Creature — Human Rogue Villain,3,"Human, Rogue, Villain",msh,uncommon,https://scryfall.com/card/msh/214/ghost-spectral-saboteur?utm_source=api
"Ghost-Spider, Gwen Stacy","Ghost-Spider, Gwen Stacy",Legendary Creature — Spider Human Hero,3,"Spider, Human, Hero",spe,mythic,https://scryfall.com/card/spe/14/ghost-spider-gwen-stacy?utm_source=api
"Giant-Man, Gargantuan Genius","Giant-Man, Gargantuan Genius",Legendary Creature — Human Scientist Hero,3,"Human, Scientist, Hero",msc,rare,https://scryfall.com/card/msc/722/giant-man-gargantuan-genius?utm_source=api
Gixian Skullflayer,Gixian Skullflayer,Creature — Phyrexian Human Assassin,3,"Phyrexian, Human, Assassin",bro,common,https://scryfall.com/card/bro/100/gixian-skullflayer?utm_source=api
Glamorous Grapplers,Glamorous Grapplers,Creature — Human Performer Villain,3,"Human, Performer, Villain",msc,common,https://scryfall.com/card/msc/536/glamorous-grapplers?utm_source=api
"Glarb, Calamity's Augur","Glarb, Calamity's Augur",Legendary Creature — Frog Wizard Noble,3,"Frog, Wizard, Noble",blb,mythic,https://scryfall.com/card/blb/215/glarb-calamitys-augur?utm_source=api
Glider Kids,Glider Kids,Creature — Human Pilot Ally,3,"Human, Pilot, Ally",tla,common,https://scryfall.com/card/tla/21/glider-kids?utm_source=api
Glintwing Invoker,Glintwing Invoker,Creature — Human Wizard Mutant,3,"Human, Wizard, Mutant",dmr,common,https://scryfall.com/card/dmr/52/glintwing-invoker?utm_source=api
Glissa Sunslayer,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,3,"Phyrexian, Zombie, Elf",ecc,rare,https://scryfall.com/card/ecc/122/glissa-sunslayer?utm_source=api
"Glissa, Herald of Predation","Glissa, Herald of Predation",Legendary Creature — Phyrexian Zombie Elf,3,"Phyrexian, Zombie, Elf",mom,rare,https://scryfall.com/card/mom/226/glissa-herald-of-predation?utm_source=api
"Glissa, the Traitor","Glissa, the Traitor",Legendary Creature — Phyrexian Zombie Elf,3,"Phyrexian, Zombie, Elf",mbs,mythic,https://scryfall.com/card/mbs/96/glissa-the-traitor?utm_source=api
Glistener Elf,Glistener Elf,Creature — Phyrexian Elf Warrior,3,"Phyrexian, Elf, Warrior",nph,common,https://scryfall.com/card/nph/111/glistener-elf?utm_source=api
Goblin Cruciverbalist,Goblin Cruciverbalist,Creature — Goblin Wizard Guest,3,"Goblin, Wizard, Guest",unf,rare,https://scryfall.com/card/unf/110/goblin-cruciverbalist?utm_source=api
Goblin Freerunner,Goblin Freerunner,Creature — Goblin Warrior Ally,3,"Goblin, Warrior, Ally",ogw,common,https://scryfall.com/card/ogw/111/goblin-freerunner?utm_source=api
Goblin Test Pilot,Goblin Test Pilot,Creature — Goblin Pilot Wizard,3,"Goblin, Pilot, Wizard",dgm,uncommon,https://scryfall.com/card/dgm/74/goblin-test-pilot?utm_source=api
Goldnight Commander,Goldnight Commander,Creature — Human Cleric Soldier,3,"Human, Cleric, Soldier",tdc,uncommon,https://scryfall.com/card/tdc/117/goldnight-commander?utm_source=api
Golgari Death Swarm,Golgari Death Swarm,Creature — Bat Fungus Horror,3,"Bat, Fungus, Horror",cmb2,rare,https://scryfall.com/card/cmb2/91/golgari-death-swarm?utm_source=api
"Goliath, Mass Manipulator","Goliath, Mass Manipulator",Legendary Creature — Human Scientist Hero,3,"Human, Scientist, Hero",msc,uncommon,https://scryfall.com/card/msc/766/goliath-mass-manipulator?utm_source=api
Goretusk Firebeast,Goretusk Firebeast,Creature — Elemental Boar Beast,3,"Elemental, Boar, Beast",jud,common,https://scryfall.com/card/jud/91/goretusk-firebeast?utm_source=api
Gran-Gran,Gran-Gran,Legendary Creature — Human Peasant Ally,3,"Human, Peasant, Ally",tla,uncommon,https://scryfall.com/card/tla/54/gran-gran?utm_source=api
Grassland Crusader,Grassland Crusader,Creature — Human Cleric Soldier,3,"Human, Cleric, Soldier",ons,common,https://scryfall.com/card/ons/32/grassland-crusader?utm_source=api
Gravelgill Duo,Gravelgill Duo,Creature — Merfolk Rogue Warrior,3,"Merfolk, Rogue, Warrior",shm,common,https://scryfall.com/card/shm/165/gravelgill-duo?utm_source=api
Graypelt Hunter,Graypelt Hunter,Creature — Human Warrior Ally,3,"Human, Warrior, Ally",ddp,common,https://scryfall.com/card/ddp/13/graypelt-hunter?utm_source=api
Great Divide Guide,Great Divide Guide,Creature — Human Scout Ally,3,"Human, Scout, Ally",tla,rare,https://scryfall.com/card/tla/181/great-divide-guide?utm_source=api
"Green Goblin, Back for More","Green Goblin, Back for More",Legendary Creature — Goblin Human Villain,3,"Goblin, Human, Villain",msc,rare,https://scryfall.com/card/msc/657/green-goblin-back-for-more?utm_source=api
"Green Goblin, Nemesis","Green Goblin, Nemesis",Legendary Creature — Goblin Human Villain,3,"Goblin, Human, Villain",spe,rare,https://scryfall.com/card/spe/23/green-goblin-nemesis?utm_source=api
"Green Goblin, Revenant","Green Goblin, Revenant",Legendary Creature — Goblin Human Villain,3,"Goblin, Human, Villain",spm,uncommon,https://scryfall.com/card/spm/130/green-goblin-revenant?utm_source=api
"Grendel, Spawn of Knull","Grendel, Spawn of Knull",Legendary Creature — Symbiote Dragon Villain,3,"Symbiote, Dragon, Villain",spe,uncommon,https://scryfall.com/card/spe/9/grendel-spawn-of-knull?utm_source=api
"Greven, Predator Captain","Greven, Predator Captain",Legendary Creature — Phyrexian Human Warrior,3,"Phyrexian, Human, Warrior",c19,mythic,https://scryfall.com/card/c19/43/greven-predator-captain?utm_source=api
Groundchuck & Dirtbag,Groundchuck & Dirtbag,Legendary Creature — Ox Mole Mutant,3,"Ox, Mole, Mutant",tmt,rare,https://scryfall.com/card/tmt/115/groundchuck-&-dirtbag?utm_source=api
Grovetender Druids,Grovetender Druids,Creature — Elf Druid Ally,3,"Elf, Druid, Ally",bfz,uncommon,https://scryfall.com/card/bfz/212/grovetender-druids?utm_source=api
